"X","Y","Z"
1472.95,1298.57,100.21
1472.29,1298.63,100.24
1472.26,1298.63,100.21
1472.93,1296.51,98.55
1472.94,1296.52,98.56
1472.59,1296.99,98.52
1472.59,1297.02,98.52
1472.25,1296.37,98.54
1472.90,1296.51,98.48
1472.95,1296.45,98.50
1472.58,1296.56,98.50
1472.63,1296.52,98.49
1472.65,1296.67,98.48
1472.72,1296.64,98.49
1472.77,1296.78,98.47
1472.83,1296.83,98.47
1472.27,1296.35,98.52
1472.25,1297.14,98.26
1472.10,1296.92,98.24
1472.14,1296.74,98.22
1471.97,1296.62,98.24
1472.27,1296.71,98.25
1472.16,1296.72,98.28
1472.10,1296.83,98.51
1472.07,1296.78,98.51
1472.09,1296.87,98.52
1472.20,1296.73,98.49
1472.14,1296.69,98.49
1472.53,1296.45,98.49
1472.57,1296.48,98.48
1472.90,1296.63,98.47
1472.88,1296.65,98.46
1472.27,1296.40,98.47
1472.29,1296.34,98.46
1472.33,1296.93,98.46
1472.34,1296.93,98.46
1472.92,1296.36,98.42
1472.20,1296.30,98.41
1472.23,1296.30,98.40
1472.42,1296.75,98.38
1472.39,1296.76,98.38
1472.40,1296.93,98.41
1472.38,1296.92,98.41
1472.28,1296.89,98.41
1472.29,1296.87,98.41
1472.00,1296.63,98.38
1472.04,1296.63,98.36
1472.10,1296.65,98.36
1472.12,1296.65,98.36
1472.65,1296.76,98.37
1472.65,1296.77,98.37
1472.79,1296.31,98.37
1472.85,1296.30,98.38
1472.85,1296.25,98.36
1472.92,1296.21,98.38
1472.25,1296.46,98.36
1472.24,1296.46,98.37
1472.03,1296.44,98.44
1472.07,1296.43,98.42
1472.44,1296.17,98.31
1472.46,1296.16,98.32
1472.42,1296.30,98.34
1472.43,1296.32,98.34
1472.34,1296.08,98.31
1472.32,1296.09,98.31
1472.51,1296.45,98.24
1472.50,1296.47,98.24
1472.10,1296.35,98.40
1472.11,1296.36,98.39
1472.10,1296.37,98.36
1472.08,1296.36,98.37
1472.11,1296.33,98.37
1472.09,1296.32,98.38
1472.11,1296.26,98.34
1472.18,1296.25,98.38
1472.11,1296.28,98.35
1472.13,1296.26,98.37
1472.11,1296.23,98.33
1472.10,1296.22,98.35
1472.09,1296.22,98.34
1472.10,1296.18,98.36
1472.08,1296.20,98.33
1472.07,1296.27,98.37
1472.11,1296.24,98.38
1472.06,1296.27,98.37
1472.13,1296.28,98.40
1472.21,1296.63,98.10
1472.27,1296.62,98.10
1472.64,1296.38,98.06
1472.60,1296.38,98.06
1472.38,1296.38,98.05
1472.39,1296.31,98.05
1472.40,1296.26,98.00
1472.37,1296.24,98.00
1472.58,1296.06,98.04
1472.61,1296.10,98.03
1472.45,1296.90,98.00
1472.45,1296.92,98.00
1472.72,1296.58,97.96
1472.75,1296.58,97.96
1472.73,1296.59,97.97
1472.76,1296.58,97.97
1472.65,1296.65,98.00
1472.68,1296.69,97.99
1472.50,1296.12,97.97
1472.51,1296.14,97.97
1472.73,1296.27,97.92
1472.76,1296.30,97.89
1472.95,1296.29,97.94
1472.94,1296.34,97.89
1472.28,1296.32,97.95
1472.26,1296.28,97.89
1472.46,1296.54,97.88
1472.63,1296.53,97.86
1472.87,1296.24,97.84
1472.26,1296.22,97.93
1472.30,1296.25,97.90
1472.30,1296.29,97.90
1472.34,1296.27,97.91
1472.47,1296.22,97.94
1472.28,1296.54,98.04
1472.55,1296.33,97.93
1472.35,1296.34,97.93
1472.54,1296.15,97.86
1472.35,1296.19,97.94
1472.61,1295.99,97.97
1472.59,1296.17,97.89
1472.96,1296.28,97.86
1472.89,1296.19,97.91
1472.94,1296.22,97.86
1473.01,1296.33,97.91
1472.94,1296.41,97.88
1473.79,1296.77,98.53
1473.82,1296.77,98.53
1473.68,1296.86,98.52
1473.61,1296.81,98.52
1473.81,1296.76,98.51
1473.82,1296.78,98.50
1473.25,1296.69,98.54
1473.27,1296.71,98.54
1473.19,1296.76,98.51
1473.21,1296.78,98.52
1473.66,1296.80,98.48
1473.62,1296.77,98.49
1473.23,1296.24,98.45
1473.23,1296.21,98.45
1473.64,1296.55,98.46
1473.60,1296.50,98.46
1473.53,1296.50,98.45
1473.50,1296.55,98.45
1473.04,1296.23,98.42
1473.00,1296.28,98.42
1473.02,1296.36,98.38
1473.04,1296.34,98.39
1473.31,1296.80,98.36
1473.29,1296.79,98.35
1473.61,1296.53,98.28
1473.59,1296.53,98.29
1473.92,1296.84,98.29
1473.92,1296.86,98.28
1473.33,1296.89,98.26
1473.32,1296.87,98.25
1473.76,1296.32,98.23
1473.74,1296.32,98.22
1473.50,1296.29,98.24
1473.54,1296.25,98.20
1473.58,1296.62,98.23
1473.94,1296.77,98.23
1473.75,1296.66,98.20
1473.74,1296.65,98.20
1473.58,1296.61,98.23
1473.58,1296.56,98.16
1473.59,1296.54,98.16
1473.29,1296.36,98.16
