"X","Y","Z"
1472.42,1298.96,100.31
1472.43,1298.95,100.32
1472.15,1298.78,100.27
1472.10,1298.64,100.24
1472.11,1298.65,100.26
1472.61,1298.93,100.24
1472.62,1298.92,100.24
1472.03,1298.75,100.26
1472.02,1298.74,100.25
1472.09,1298.82,100.24
1472.07,1298.83,100.24
1472.49,1298.89,100.24
1472.18,1298.50,100.22
1472.18,1298.48,100.21
1472.10,1298.95,100.21
1472.12,1298.93,100.22
1472.16,1298.98,100.21
1472.15,1298.97,100.21
1472.09,1298.65,100.16
1472.83,1298.80,100.14
1472.76,1298.80,100.14
1472.07,1298.88,100.13
1472.06,1298.92,100.13
1472.09,1298.73,100.13
1472.07,1298.72,100.13
1472.14,1298.82,100.12
1472.18,1298.80,100.11
1472.10,1298.50,100.06
1472.14,1298.49,100.06
1472.44,1298.54,100.03
1472.41,1298.64,100.03
1472.11,1298.00,98.86
1472.15,1297.96,98.87
1472.53,1296.68,98.50
1472.50,1296.66,98.49
1472.15,1296.55,98.47
1472.16,1296.58,98.48
1472.49,1296.28,98.45
1472.53,1296.31,98.45
1472.37,1296.17,98.45
1472.39,1296.17,98.45
1472.27,1296.20,98.44
1472.30,1296.22,98.44
1472.78,1296.74,98.39
1472.77,1296.71,98.39
1472.75,1297.03,98.42
1472.75,1296.97,98.41
1472.37,1296.89,98.42
1472.39,1296.90,98.42
1472.50,1296.92,98.43
1472.43,1296.93,98.41
1472.34,1296.64,98.38
1472.35,1296.63,98.38
1472.59,1296.43,98.38
1472.62,1296.37,98.38
1472.36,1296.43,98.37
1472.35,1296.44,98.36
1472.19,1296.18,98.45
1472.23,1296.18,98.43
1472.89,1296.46,98.20
1472.90,1296.46,98.20
1472.84,1296.39,98.19
1472.84,1296.42,98.18
1472.85,1296.42,98.18
1472.22,1296.20,98.50
1472.18,1296.23,98.49
1472.10,1296.65,98.21
1472.11,1296.66,98.21
1472.16,1296.33,98.26
1472.16,1296.33,98.26
1472.45,1296.84,98.20
1472.43,1296.82,98.20
1472.23,1296.43,98.17
1472.28,1296.44,98.16
1472.96,1296.28,98.13
1472.97,1296.27,98.13
1472.69,1296.76,98.00
1472.70,1296.75,98.03
1472.35,1296.55,98.00
1472.36,1296.56,98.00
1472.56,1296.36,97.97
1472.22,1296.27,97.98
1472.23,1296.27,97.97
1473.60,1296.47,98.52
1473.57,1296.43,98.53
1473.47,1296.31,98.53
1473.50,1296.35,98.52
1473.12,1296.34,98.52
1473.16,1296.32,98.53
1473.42,1296.37,98.44
1473.40,1296.34,98.44
1473.88,1296.84,98.45
1473.86,1296.81,98.44
1473.44,1296.97,98.41
1473.42,1296.95,98.41
1473.74,1296.88,98.34
1473.72,1296.92,98.33
1473.34,1296.32,98.26
1473.33,1296.33,98.27
1473.28,1296.96,98.23
1473.30,1296.96,98.23
1473.50,1296.73,98.19
1473.51,1296.71,98.19
1473.25,1296.61,98.13
1473.42,1296.80,98.09
1473.41,1296.80,98.10
1473.71,1296.44,98.06
1473.73,1296.46,98.06
1473.37,1296.87,98.09
1473.37,1296.88,98.09
1474.71,1297.15,98.50
1474.52,1296.93,98.49
1474.18,1296.42,98.45
1474.16,1296.44,98.46
1474.68,1296.62,98.45
1474.46,1296.97,98.48
1474.47,1297.00,98.48
1474.48,1296.49,98.45
1474.52,1296.46,98.46
1474.13,1296.48,98.38
1474.12,1296.49,98.38
1474.49,1296.74,98.43
1474.52,1296.74,98.44
1474.73,1296.57,98.39
1474.72,1296.53,98.38
1474.67,1296.51,98.36
1474.84,1296.36,98.34
1474.83,1296.36,98.34
1474.67,1296.63,98.32
1474.67,1296.61,98.32
1474.79,1296.75,98.27
1474.78,1296.77,98.24
1474.46,1296.72,98.28
1474.44,1296.70,98.28
1474.92,1296.36,98.16
1474.90,1296.42,98.18
1474.65,1296.24,98.15
1474.65,1296.27,98.15
1474.56,1296.94,98.15
1474.58,1296.94,98.16
1474.18,1296.90,98.14
1474.19,1296.90,98.13
1474.79,1296.25,98.13
1474.83,1296.35,98.14
1474.73,1296.27,98.11
1474.72,1296.28,98.11
1475.00,1296.20,98.06
1474.98,1296.23,98.04
1474.73,1296.60,97.88
1474.71,1296.59,97.89
1474.67,1296.43,97.82
1474.67,1296.42,97.83
1474.61,1296.43,97.79
1474.57,1296.40,97.81
1474.36,1296.52,97.72
1474.37,1296.51,97.71
1474.39,1296.21,97.69
1474.40,1296.20,97.68
1475.43,1297.43,98.12
1475.40,1297.02,98.10
1475.34,1297.01,98.07
1475.46,1297.07,98.03
1475.62,1296.87,97.92
1475.61,1296.88,97.92
1475.26,1296.22,97.82
1475.27,1296.19,97.83
1475.06,1296.49,97.84
1475.09,1296.50,97.80
1475.82,1296.29,97.80
1475.80,1296.30,97.79
1476.62,1297.35,97.89
1476.62,1297.33,97.88
1476.85,1297.45,97.85
1476.86,1297.52,97.86
1476.81,1297.26,97.29
